inom,prod,charge,dette,emp,caf,pop1,equip,subv,anomalie,score_anomalie
PIERREFITTE-SUR-SEINE,50383.96,47480.02,41614.54,2000.0,4011.68,30908,10733.65,2339.73,-1,-0.779065347480774
VIENNE,45628.0,41079.95,32960.1,3300.0,5658.84,30334,11112.26,3343.08,-1,-0.778538420803912
VALLAURIS,51985.62,48173.72,44091.47,0.0,6013.9,27543,4428.58,2372.68,-1,-0.778538420803912
HENIN-BEAUMONT,45651.01,37999.28,34973.99,0.0,9718.26,26366,18353.08,2268.94,-1,-0.778538420803912
VILLIERS-LE-BEL,50447.33,43724.82,30375.32,3146.0,9225.56,28540,11619.79,1952.43,-1,-0.7780118505178505
VERNON,29711.58,26903.69,39861.88,9797.5,3753.27,24404,12112.35,2053.77,-1,-0.7780118505178505
SCEAUX,47138.57,45529.92,56438.08,3750.0,2903.54,20374,11109.51,1572.61,-1,-0.7774856363815418
BONNEUIL-SUR-MARNE,46489.68,42264.42,34784.42,8000.0,6155.18,18134,9074.2,1198.74,-1,-0.7774856363815418
SAINT-ETIENNE-DU-ROUVRAY,48171.43,48084.24,37969.63,3317.73,2320.25,28573,9384.32,3431.34,-1,-0.7769597781541013
VILLIERS-SUR-MARNE,50615.06,50516.43,54690.2,2000.0,2330.42,29014,8097.42,1067.53,-1,-0.7769597781541013
MATOURY,39829.31,39990.71,17131.67,0.0,1057.07,33696,10923.78,11408.01,-1,-0.7769597781541013
PLAISIR,45044.34,43751.99,67679.56,172.5,5129.94,31303,11136.4,1744.39,-1,-0.7769597781541013
MARCQ-EN-BAROEUL,52612.2,47112.35,9.3,0.0,7247.8,39183,15916.93,4146.21,-1,-0.7769473382625973
BEAUSOLEIL,30267.02,29525.09,12885.58,7000.0,301.47,13488,15037.08,2260.02,-1,-0.7764342755948077
SAINT LAURENT DU MARONI,55150.0,58118.16,12895.4,0.0,-1638.98,47963,16292.88,3542.72,-1,-0.7764218441171173
FOS-SUR-MER,63496.73,61463.15,12661.36,0.0,8842.83,15870,8481.23,9576.91,-1,-0.7763129051548641
NEUILLY-SUR-MARNE,53355.53,54531.6,7821.55,5000.0,2155.96,36028,14749.45,2540.71,-1,-0.7759091284631018
VIRY-CHATILLON,51342.19,48710.33,30697.72,3300.0,3683.37,31079,4273.15,3414.55,-1,-0.7759091284631018
CHATOU,43179.46,40238.43,19374.79,4000.0,4621.38,30654,16924.36,1186.6,-1,-0.7753843365185877
VIERZON,39955.01,38969.31,31221.71,2500.0,1957.7,25986,8028.65,4817.84,-1,-0.7753843365185877
VILLENEUVE-SAINT-GEORGES,58905.99,54788.37,38491.54,0.0,5788.25,34992,4355.98,1392.61,-1,-0.774859899521032
LE CHESNAY-ROCQUENCOURT,45331.58,37970.11,21207.91,4300.0,8556.79,31871,7399.26,1965.78,-1,-0.7743358172303634
SAINT-LAURENT-DU-VAR,48187.63,44618.59,35394.51,0.0,5784.95,29352,5714.18,3371.58,-1,-0.7743358172303634
CALUIRE-ET-CUIRE,48065.14,41967.01,41880.49,3000.0,7408.8,43916,8215.28,2223.85,-1,-0.7738120894066733
BOURGOIN-JALLIEU,39129.2,35658.78,23746.61,5000.0,5674.73,29443,10653.44,1573.39,-1,-0.7738120894066733
CARPENTRAS,42794.5,38987.02,48409.86,3000.0,5267.49,29949,9211.95,2375.85,-1,-0.7732887158102155
MONTEREAU-FAULT-YONNE,45095.62,44711.31,26026.35,5930.0,3061.27,21422,11680.76,2365.23,-1,-0.7732887158102155
CHAMONIX-MONT-BLANC,34463.24,27370.57,38348.53,6100.0,9108.17,9026,11679.65,1256.66,-1,-0.7732887158102155
ARCUEIL,51084.83,51783.96,24008.42,15000.0,2216.29,21910,5337.93,2129.61,-1,-0.7732887158102155
SUCY-EN-BRIE,49602.57,45202.21,34669.01,2780.0,5519.43,27415,7788.39,1731.75,-1,-0.7727656962014056
POINTE A PITRE,63876.27,53168.37,36962.9,0.0,1573.95,15289,2438.72,7362.5,-1,-0.772748097234341
BRETIGNY-SUR-ORGE,37264.01,33903.64,23692.35,5000.0,5252.29,27733,11764.07,1327.72,-1,-0.7722430303408213
MEGEVE,35614.34,32220.36,26981.8,0.0,6101.03,3153,9398.6,10962.59,-1,-0.7721346777036949
YERRES,40198.18,34321.04,26332.3,3600.0,7616.19,29527,14764.44,1349.56,-1,-0.7717207179892026
PERIGUEUX,44573.15,40132.86,31801.91,3500.0,6651.87,31476,8428.31,2925.35,-1,-0.7717207179892026
DRAGUIGNAN,45138.64,39416.69,30009.56,4000.0,7410.72,40344,9922.29,2476.43,-1,-0.7711987589074509
CASTELNAU-LE-LEZ,30294.89,23299.26,21072.21,5000.0,7933.8,22916,13083.86,1434.43,-1,-0.7711987589074509
MANOSQUE,36924.41,33815.3,24885.04,5000.0,4341.03,23197,8538.85,2315.39,-1,-0.7711987589074509
BRON,47345.97,42995.24,13150.85,0.0,5885.31,42645,9383.53,7884.82,-1,-0.7706648135561462
ATHIS-MONS,54265.75,50840.12,19418.84,0.0,4866.49,36001,4981.17,2407.0,-1,-0.7701558995979635
CHARENTON-LE-PONT,66600.03,64478.97,3352.03,0.0,4364.88,30086,18924.21,1930.5,-1,-0.7696349988928389
JOINVILLE-LE-PONT,39606.64,32870.97,17953.77,0.0,4623.31,19807,41214.25,2027.08,-1,-0.7695270121859624
MARIGNANE,46670.13,40624.31,21118.11,0.0,8156.0,32612,12881.66,1852.96,-1,-0.7691144505028038
LA TESTE-DE-BUCH,42774.88,37312.26,24196.84,0.0,9311.51,26546,14612.72,1799.25,-1,-0.7691144505028038
ROCHEFORT,33962.54,29528.84,28227.39,2637.46,7161.79,24266,13295.33,2855.9,-1,-0.7691144505028038
BRUAY-LA-BUISSIERE,34594.27,31074.54,31605.14,3500.0,4625.86,22270,8366.88,3187.24,-1,-0.7685942541895671
SAUMUR,39008.47,31912.79,25722.27,0.0,8564.91,27449,12858.31,2159.09,-1,-0.7685942541895671
FRESNES,48625.85,44449.93,23320.48,750.0,5427.88,28822,3045.01,2164.09,-1,-0.768074409714999
TIGNES,32710.47,24383.19,21321.7,1000.0,9730.01,2062,7613.77,8442.23,-1,-0.7679666419728087
BRIANCON,24595.84,20830.25,44566.9,5800.0,6342.36,11659,7856.29,2432.27,-1,-0.7671127647206702
CORMEILLES EN PARISIS,44081.71,39870.74,24883.38,0.0,4830.05,25620,15465.65,1059.23,-1,-0.7670357753301549
FOUGERES,26918.59,23202.66,29725.92,5000.0,5250.92,21248,10186.37,3275.01,-1,-0.7665939222625892
MONT DE MARSAN,27107.76,26164.75,33377.23,4500.0,2455.47,31220,5692.06,3711.3,-1,-0.7665169849444241
DECINES-CHARPIEU,41713.26,39583.83,20496.29,750.0,3066.98,29069,6804.58,4058.43,-1,-0.7665169849444241
LIMEIL-BREVANNES,38887.73,34514.93,39026.26,4000.0,5784.59,27945,6947.76,1235.49,-1,-0.7665169849444241
GRIGNY,49619.63,46159.8,27935.09,1000.0,4788.46,28299,8294.73,1825.78,-1,-0.7665169849444241
BERGERAC,37050.88,34036.92,31509.1,3650.0,4866.13,27408,10187.55,2170.97,-1,-0.7659985454464524
ARCACHON,34754.01,30930.0,32461.79,1390.0,6439.77,11898,7351.36,3769.05,-1,-0.7658910689666744
CHEVILLY-LARUE,41646.19,38077.53,23344.06,0.0,5758.62,20057,8051.69,3324.94,-1,-0.7653730528116575
ROYAN,44397.45,37810.22,40385.16,0.0,8336.04,18946,11413.13,2083.99,-1,-0.7653730528116575
THIAIS,38684.77,35656.17,38366.35,3600.0,5062.13,30910,7707.84,1732.0,-1,-0.7649627181646446
SAINTE-GENEVIEVE-DES-BOIS,45279.8,43370.6,41935.36,2584.0,3841.73,36140,5638.3,2081.19,-1,-0.7649627181646446
GAGNY,52576.8,45864.94,8672.42,47.54,10210.18,39860,11223.69,2576.18,-1,-0.7644330903837803
ACHERES,31102.4,30646.62,24904.75,4514.12,2844.18,21688,10303.3,2154.92,-1,-0.7639282915880523
SAINT-MANDE,45404.31,41830.54,18089.71,2800.0,5420.75,22576,10584.86,1481.83,-1,-0.7634116029722012
AURILLAC,39897.03,36184.9,22880.11,3320.02,5955.96,26876,11014.13,2675.1,-1,-0.7634116029722012
HUEZ,37479.68,36234.66,15456.23,0.0,3828.83,1340,10748.16,7311.2,-1,-0.7633044894637006
ENGHIEN-LES-BAINS,59532.05,46981.21,5206.2,0.0,15485.71,11628,10557.82,2056.66,-1,-0.7632922682068216
GUJAN-MESTRAS,27674.32,22362.17,21221.2,8900.0,6432.63,22334,8745.69,1866.92,-1,-0.762971837619088
